Year,Semester,Mark,Grade,Number of Students
2019,1,91,A+,1
2019,1,88,A,1
2019,1,85,A,1
2019,1,83,A-,2
2019,1,82,A-,1
2019,1,81,A-,1
2019,1,80,A-,1
2019,1,77,B+,2
2019,1,75,B+,1
2019,1,74,B,1
2019,1,72,B,1
2019,1,65,B-,1
2020,1,100,A+,2
2020,1,99,A+,1
2020,1,97,A+,1
2020,1,96,A+,1
2020,1,93,A+,1
2020,1,92,A+,3
2020,1,91,A+,1
2020,1,90,A+,2
2020,1,87,A,1
2020,1,86,A,1
2020,1,85,A,1
2020,1,82,A-,1
2020,1,80,A-,1
2020,1,79,B+,1
2021,1,97,A+,1
2021,1,90,A+,2
2021,1,88,A,1
2021,1,76,B+,1
2021,1,73,B,1
2021,1,72,B,1
2021,1,71,B,1
2021,1,70,B,1
2021,1,67,B-,2
2021,1,66,B-,1
2021,1,65,B-,1
2021,1,63,C+,1
2021,1,50,C-,1
2021,1,Withheld,FD or FE,2
2022,1,98,A+,1
2022,1,97,A+,1
2022,1,92,A+,1
2022,1,89,A,1
2022,1,88,A,1
2022,1,87,A,1
2022,1,85,A,1
2022,1,83,A-,1
2022,1,80,A-,1
2022,1,76,B+,1
2022,1,75,B+,1
2022,1,72,B,1
2022,1,70,B,1
2022,1,67,B-,1
2022,1,66,B-,2
2022,1,65,B-,1
2022,1,61,C+,1
2022,1,Withheld,FD or FE,4
