Year,Semester,Mark,Grade,Number of Students
2019,2,99,A+,1
2019,2,95,A+,1
2019,2,91,A+,1
2019,2,88,A,1
2019,2,85,A,1
2019,2,84,A-,1
2019,2,83,A-,3
2019,2,82,A-,2
2019,2,80,A-,7
2019,2,79,B+,3
2019,2,78,B+,1
2019,2,76,B+,1
2019,2,75,B+,1
2019,2,74,B,3
2019,2,73,B,1
2019,2,72,B,2
2019,2,71,B,1
2019,2,70,B,3
2019,2,69,B-,1
2019,2,67,B-,5
2019,2,66,B-,2
2019,2,65,B-,2
2019,2,60,C+,1
2019,2,59,C,1
2019,2,58,C,1
2019,2,54,C-,2
2019,2,53,C-,1
2019,2,51,C-,2
2019,2,Withheld,FD or FE,4
2020,2,95,A+,2
2020,2,94,A+,1
2020,2,93,A+,1
2020,2,92,A+,1
2020,2,91,A+,2
2020,2,88,A,1
2020,2,87,A,1
2020,2,86,A,1
2020,2,84,A-,2
2020,2,82,A-,2
2020,2,81,A-,2
2020,2,80,A-,4
2020,2,79,B+,3
2020,2,78,B+,6
2020,2,77,B+,3
2020,2,76,B+,1
2020,2,75,B+,4
2020,2,74,B,4
2020,2,73,B,1
2020,2,72,B,1
2020,2,71,B,1
2020,2,70,B,2
2020,2,68,B-,1
2020,2,67,B-,2
2020,2,66,B-,4
2020,2,65,B-,1
2020,2,63,C+,2
2020,2,62,C+,2
2020,2,60,C+,1
2020,2,59,C,1
2020,2,57,C,1
2020,2,45,FD,1
2020,2,43,FD,1
2020,2,36,FE,1
2020,2,0,FE,2
2021,2,96,A+,3
2021,2,95,A+,1
2021,2,91,A+,1
2021,2,90,A+,1
2021,2,88,A,1
2021,2,87,A,1
2021,2,86,A,4
2021,2,83,A-,3
2021,2,82,A-,3
2021,2,81,A-,3
2021,2,80,A-,1
2021,2,79,B+,1
2021,2,78,B+,2
2021,2,77,B+,1
2021,2,76,B+,1
2021,2,74,B,2
2021,2,73,B,1
2021,2,71,B,2
2021,2,70,B,4
2021,2,69,B-,3
2021,2,68,B-,1
2021,2,63,C+,1
2021,2,61,C+,1
2021,2,55,C,1
2021,2,50,C-,1
2021,2,40,FD,1
2021,2,36,FE,1
2021,2,27,FE,1
2021,2,0,FE,4
2022,2,97,A+,2
2022,2,95,A+,1
2022,2,93,A+,4
2022,2,91,A+,3
2022,2,90,A+,3
2022,2,88,A,1
2022,2,85,A,4
2022,2,83,A-,1
2022,2,82,A-,3
2022,2,80,A-,5
2022,2,78,B+,2
2022,2,76,B+,2
2022,2,75,B+,1
2022,2,73,B,1
2022,2,72,B,1
2022,2,70,B,2
2022,2,68,B-,3
2022,2,66,B-,1
2022,2,63,C+,1
2022,2,62,C+,3
2022,2,61,C+,2
2022,2,60,C+,1
2022,2,56,C,1
2022,2,55,C,1
2022,2,50,C-,2
2022,2,47,FD,1
2022,2,29,FE,1
2022,2,0,FE,8


