Year,Semester,Mark,Grade,Number of Students
2019,2,98,A+,1
2019,2,93,A+,2
2019,2,92,A+,1
2019,2,91,A+,1
2019,2,90,A+,4
2019,2,87,A,1
2019,2,86,A,4
2019,2,85,A,6
2019,2,84,A-,2
2019,2,83,A-,1
2019,2,82,A-,7
2019,2,81,A-,1
2019,2,80,A-,2
2019,2,79,B+,1
2019,2,77,B+,1
2019,2,76,B+,1
2019,2,75,B+,1
2019,2,74,B,2
2019,2,72,B,1
2019,2,70,B,2
2019,2,68,B-,1
2019,2,67,B-,2
2019,2,66,B-,1
2019,2,63,C+,1
2019,2,62,C+,1
2019,2,56,C,1
2019,2,55,C,2
2019,2,Withheld,FD or FE,3
2020,2,95,A+,2
2020,2,93,A+,3
2020,2,92,A+,5
2020,2,91,A+,1
2020,2,89,A,1
2020,2,88,A,6
2020,2,87,A,3
2020,2,85,A,2
2020,2,84,A-,1
2020,2,83,A-,1
2020,2,82,A-,2
2020,2,81,A-,1
2020,2,80,A-,1
2020,2,79,B+,2
2020,2,78,B+,2
2020,2,77,B+,1
2020,2,75,B+,2
2020,2,74,B,2
2020,2,72,B,1
2020,2,71,B,4
2020,2,70,B,1
2020,2,69,B-,1
2020,2,68,B-,1
2020,2,66,B-,1
2020,2,65,B-,2
2020,2,64,C+,1
2020,2,54,C-,1
2020,2,Withheld,FD or FE,2
2021,2,97,A+,1
2021,2,96,A+,1
2021,2,94,A+,1
2021,2,92,A+,1
2021,2,89,A,5
2021,2,88,A,1
2021,2,87,A,3
2021,2,86,A,1
2021,2,85,A,3
2021,2,84,A-,1
2021,2,83,A-,3
2021,2,82,A-,1
2021,2,81,A-,3
2021,2,80,A-,1
2021,2,79,B+,3
2021,2,78,B+,2
2021,2,77,B+,4
2021,2,76,B+,7
2021,2,74,B,2
2021,2,73,B,2
2021,2,72,B,2
2021,2,70,B,1
2021,2,69,B-,1
2021,2,68,B-,1
2021,2,66,B-,1
2021,2,65,B-,2
2021,2,61,C+,1
2021,2,60,C+,3
2021,2,56,C,1
2021,2,53,C-,1
2021,2,51,C-,1
2021,2,50,C-,1
2021,2,Withheld,FD or FE,3
2022,2,93,A+,1
2022,2,92,A+,1
2022,2,91,A+,1
2022,2,90,A+,2
2022,2,88,A,2
2022,2,87,A,4
2022,2,86,A,1
2022,2,84,A-,1
2022,2,83,A-,1
2022,2,82,A-,3
2022,2,80,A-,2
2022,2,79,B+,2
2022,2,78,B+,1
2022,2,77,B+,6
2022,2,76,B+,1
2022,2,73,B,1
2022,2,71,B,1
2022,2,70,B,1
2022,2,69,B-,1
2022,2,64,C+,1
2022,2,63,C+,1
2022,2,61,C+,1
2022,2,55,C,1
2022,2,54,C-,1
2022,2,50,C-,1
2022,2,42,FD,1
2022,2,37,FE,1
2022,2,36,FE,1
2022,2,31,FE,1
2022,2,15,FE,1
2022,2,9,FE,1
2022,2,0,FE,1
