Year,Semester,Mark,Grade,Number of Students
2022,1,100,A+,1
2022,1,96,A+,2
2022,1,95,A+,2
2022,1,94,A+,4
2022,1,93,A+,8
2022,1,92,A+,2
2022,1,91,A+,2
2022,1,90,A+,5
2022,1,89,A,4
2022,1,88,A,5
2022,1,87,A,5
2022,1,86,A,7
2022,1,85,A,4
2022,1,84,A-,3
2022,1,83,A-,4
2022,1,82,A-,4
2022,1,81,A-,1
2022,1,80,A-,3
2022,1,79,B+,3
2022,1,78,B+,5
2022,1,77,B+,2
2022,1,76,B+,2
2022,1,75,B+,3
2022,1,74,B,2
2022,1,70,B,2
2022,1,66,B-,1
2022,1,65,B-,3
2022,1,62,C+,1
2022,1,60,C+,1
2022,1,47,FD,1
2022,1,30,FE,1
2022,1,24,FE,1
2022,1,20,FE,1
2022,1,1,FE,2
