Year,Semester,Mark,Grade,Number of Students
2022,2,97,A+,1
2022,2,95,A+,1
2022,2,94,A+,2
2022,2,93,A+,3
2022,2,92,A+,4
2022,2,91,A+,3
2022,2,90,A+,4
2022,2,88,A,3
2022,2,87,A,2
2022,2,86,A,2
2022,2,85,A,3
2022,2,84,A-,4
2022,2,81,A-,3
2022,2,80,A-,3
2022,2,79,B+,3
2022,2,77,B+,2
2022,2,75,B+,1
2022,2,74,B,3
2022,2,73,B,1
2022,2,72,B,1
2022,2,71,B,3
2022,2,69,B-,1
2022,2,68,B-,1
2022,2,67,B-,1
2022,2,66,B-,2
2022,2,65,B-,1
2022,2,64,C+,2
2022,2,63,C+,1
2022,2,62,C+,3
2022,2,60,C+,4
2022,2,59,C,1
2022,2,58,C,1
2022,2,57,C,2
2022,2,55,C,1
2022,2,43,FD,1
2022,2,38,FE,1
2022,2,37,FE,1
2022,2,35,FE,1
2022,2,32,FE,1
2022,2,29,FE,2
2022,2,24,FE,1
2022,2,22,FE,1
2022,2,21,FE,1
2022,2,12,FE,1
2022,2,6,FE,1
2022,2,2,FE,1
2022,2,1,FE,1
2022,2,0,FE,4
