Year,Semester,Mark,Grade,Number of Students
2022,1,99,A+,2
2022,1,97,A+,4
2022,1,96,A+,5
2022,1,94,A+,3
2022,1,93,A+,3
2022,1,91,A+,1
2022,1,90,A+,3
2022,1,89,A,3
2022,1,88,A,2
2022,1,87,A,2
2022,1,86,A,4
2022,1,85,A,3
2022,1,84,A-,2
2022,1,83,A-,4
2022,1,82,A-,1
2022,1,81,A-,3
2022,1,79,B+,4
2022,1,78,B+,4
2022,1,77,B+,2
2022,1,76,B+,2
2022,1,75,B+,2
2022,1,74,B,3
2022,1,73,B,1
2022,1,72,B,3
2022,1,71,B,3
2022,1,70,B,3
2022,1,69,B-,2
2022,1,67,B-,1
2022,1,66,B-,1
2022,1,65,B-,3
2022,1,64,C+,1
2022,1,63,C+,1
2022,1,62,C+,5
2022,1,60,C+,2
2022,1,59,C,1
2022,1,57,C,3
2022,1,56,C,1
2022,1,54,C-,1
2022,1,53,C-,2
2022,1,52,C-,1
2022,1,51,C-,1
2022,1,50,C-,2
2022,1,48,FD,2
2022,1,47,FD,1
2022,1,45,FD,2
2022,1,44,FD,1
2022,1,42,FD,2
2022,1,41,FD,1
2022,1,37,FE,1
2022,1,32,FE,1
2022,1,26,FE,1
2022,1,22,FE,2
2022,1,18,FE,1
2022,1,16,FE,2
2022,1,15,FE,1
2022,1,14,FE,1
2022,1,10,FE,1
2022,1,0,FE,3
