Year,Semester,Mark,Grade,Number of Students
2019,1,99,A+,1
2019,1,98,A+,2
2019,1,97,A+,1
2019,1,96,A+,1
2019,1,94,A+,1
2019,1,91,A+,2
2019,1,86,A,1
2019,1,85,A,2
2019,1,84,A-,1
2019,1,83,A-,2
2019,1,82,A-,2
2019,1,80,A-,1
2019,1,73,B,2
2019,1,69,B-,1
2019,1,67,B-,1
2019,1,65,B-,2
2019,1,60,C+,1
2019,1,58,C,1
2019,1,Withheld,FD or FE,1
2020,1,100,A+,3
2020,1,99,A+,2
2020,1,98,A+,2
2020,1,94,A+,1
2020,1,93,A+,1
2020,1,92,A+,1
2020,1,88,A,1
2020,1,87,A,1
2020,1,83,A-,1
2020,1,82,A-,2
2020,1,81,A-,2
2020,1,79,B+,1
2020,1,76,B+,1
2020,1,73,B,1
2020,1,72,B,1
2020,1,68,B-,1
2020,1,65,B-,2
2020,1,60,C+,1
2020,1,51,C-,1
2020,1,Withheld,FD or FE,3
2021,1,97,A+,1
2021,1,96,A+,1
2021,1,87,A,1
2021,1,85,A,2
2021,1,76,B+,1
2021,1,71,B,1
2021,1,68,B-,1
2021,1,58,C,1
2021,1,Withheld,FD or FE,3
2022,2,99,A+,1
2022,2,97,A+,1
2022,2,95,A+,2
2022,2,94,A+,2
2022,2,92,A+,1
2022,2,90,A+,1
2022,2,78,B+,1
2022,2,65,B-,1
2022,2,50,C-,2
2022,2,Withheld,FD or FE,2


