Year,Semester,Mark,Grade,Number of Students
2019,3,91,A+,1
2019,3,90,A+,1
2019,3,88,A,1
2019,3,84,A-,2
2019,3,82,A-,1
2019,3,81,A-,2
2019,3,80,A-,2
2019,3,77,B+,1
2019,3,76,B+,1
2019,3,74,B,3
2019,3,73,B,1
2019,3,71,B,2
2019,3,68,B-,1
2019,3,67,B-,2
2019,3,66,B-,1
2019,3,65,B-,1
2019,3,63,C+,1
2019,3,61,C+,1
2019,3,60,C+,1
2020,3,94,A+,1
2020,3,89,A,1
2020,3,88,A,1
2020,3,87,A,1
2020,3,86,A,5
2020,3,85,A,2
2020,3,83,A-,2
2020,3,82,A-,1
2020,3,79,B+,1
2020,3,77,B+,1
2020,3,76,B+,1
2020,3,75,B+,1
2020,3,70,B,1
2020,3,64,C+,1
2020,3,63,C+,2
2020,3,Withheld,FD or FE,1
2021,3,89,A,2
2021,3,87,A,2
2021,3,85,A,3
2021,3,84,A-,1
2021,3,83,A-,1
2021,3,82,A-,3
2021,3,81,A-,1
2021,3,80,A-,3
2021,3,79,B+,1
2021,3,78,B+,3
2021,3,76,B+,3
2021,3,75,B+,2
2021,3,74,B,2
2021,3,73,B,1
2021,3,71,B,1
2021,3,70,B,2
2021,3,69,B-,1
2021,3,68,B-,2
2021,3,66,B-,2
2021,3,62,C+,1
2021,3,50,C-,1
2022,2,100,A+,1
2022,2,98,A+,1
2022,2,97,A+,1
2022,2,96,A+,1
2022,2,94,A+,3
2022,2,91,A+,2
2022,2,90,A+,1
2022,2,88,A,2
2022,2,85,A,1
2022,2,84,A-,2
2022,2,82,A-,2
2022,2,81,A-,1
2022,2,80,A-,3
2022,2,79,B+,1
2022,2,78,B+,2
2022,2,76,B+,1
2022,2,75,B+,1
2022,2,73,B,1
2022,2,72,B,1
2022,2,71,B,2
2022,2,70,B,1
2022,2,68,B-,2
2022,2,67,B-,2
2022,2,62,C+,4
2022,2,61,C+,3
2022,2,60,C+,2
2022,2,59,C,1
2022,2,57,C,1
2022,2,55,C,1
2022,2,51,C-,1
2022,2,Withheld,FD or FE,4
